role,title,client,production_company,date,agency,project_url,thumbnail_url
Line Producer,Win a Tesla Model S-APEX,Omaze,Omaze,01/12/2022,,https://www.youtube.com/watch?v=uHmVmKcOSw4,https://img.youtube.com/vi/uHmVmKcOSw4/hqdefault.jpg
Line Producer,Win a Dodge Demon ‘Ghoul’ ,Omaze,Omaze,01/10/2022,,https://www.youtube.com/watch?v=-okT6HfqUVg,https://img.youtube.com/vi/-okT6HfqUVg/hqdefault.jpg
Photo Producer,Win an Airstream Caravel 20FB and RAM 1500 ,Omaze,Omaze,26/08/2022,,https://www.omaze.com/products/airstream-caravel-ram-1500,https://cdn.shopify.com/s/files/1/0043/8471/8938/products/AirstreamRam_Q222_Site_Hero1_76289da9-4718-4ab4-a9bf-face58b2dd59_812x.jpg?v=1653096217
Photo Producer,Win a Ford Mustang Shelby GT500,Omaze,Omaze,25/11/2022,,https://www.omaze.com/products/shelby-mustang-gt500,https://cdn.shopify.com/s/files/1/0043/8471/8938/products/MustangShelby_Q322_Site_Hero1_0463ccf2-cc3d-48f0-83d3-3824c78a4919_812x.jpg?v=1660334212
Line Producer,"JuJu Smith-Schuster Plays ""Real Tech or Fake Tech?"" ",Omaze,Omaze,01/08/2022,,https://www.youtube.com/watch?v=MM9Y09Mqerg,https://img.youtube.com/vi/MM9Y09Mqerg/hqdefault.jpg
Line Producer,Meet the Winner of the Miami Dream House,Omaze,Omaze,01/01/2022,,https://www.youtube.com/shorts/_7BQ9tIsh4s,https://img.youtube.com/vi/_7BQ9tIsh4s/hqdefault.jpg
Production Manager,Ozzy Osbourne Has a Falling Out With His Pet Demon,Omaze,Omaze,01/11/2022,,https://www.youtube.com/watch?v=g37d0DMlZ_E,https://img.youtube.com/vi/g37d0DMlZ_E/hqdefault.jpg
Production Manager,Win a Ford Raptor,Omaze,Omaze,01/06/2022,,https://www.youtube.com/watch?v=9UEhYJXF5p4,https://img.youtube.com/vi/9UEhYJXF5p4/hqdefault.jpg
Production Manager,Charlize Theron Wants You to Win a BMW M5 CS,Omaze,Omaze,01/04/2022,,https://www.youtube.com/watch?v=wFW001JxrPQ,https://img.youtube.com/vi/wFW001JxrPQ/hqdefault.jpg
Associate Producer,The Wedding Year,,Off The Dock,19/09/2019,,https://www.youtube.com/watch?v=TVhVdVj5KVY,https://img.youtube.com/vi/TVhVdVj5KVY/hqdefault.jpg
Line Producer,Her Take: Mia Kang,Champs Sports,Happy Place,01/03/2021,NTWRK,https://www.youtube.com/watch?v=YRSkPkXcmnA,https://img.youtube.com/vi/YRSkPkXcmnA/hqdefault.jpg
Line Producer,Her Take: Jazmyn W ,Champs Sports,Happy Place,01/04/2021,NTWRK,https://www.youtube.com/watch?v=SjzUferDpgo,https://img.youtube.com/vi/SjzUferDpgo/hqdefault.jpg
Line Producer,Her Take: Gabi Butler,Champs Sports,Happy Place,01/05/2021,NTWRK,https://www.youtube.com/watch?v=oIeSfAva-qc,https://img.youtube.com/vi/oIeSfAva-qc/hqdefault.jpg
Line Producer,Her Take: Tisha Alyn,Champs Sports,Happy Place,01/06/2021,NTWRK,https://www.youtube.com/watch?v=TvrvWWKnY6o,https://img.youtube.com/vi/TvrvWWKnY6o/hqdefault.jpg
Line Producer,Freedom Songs | Celebrate Juneteenth,Apple Music,Happy Place,19/06/2021,,https://www.youtube.com/shorts/BiiIwXxwygI,https://img.youtube.com/vi/BiiIwXxwygI/hqdefault.jpg
Production Manager,The Zane Lowe Interview Series: Barbra Streisand,Apple Music,Happy Place,01/06/2021,,https://www.youtube.com/watch?v=wMq6JdhdUnk,https://img.youtube.com/vi/wMq6JdhdUnk/hqdefault.jpg
Production Manager,Joe Kay: Celebrating 10 Years of Soulection,Apple Music,Happy Place,15/03/2021,,https://www.youtube.com/watch?v=i7lbDeDUkHk,https://img.youtube.com/vi/i7lbDeDUkHk/hqdefault.jpg
Production Manager,The Zane Lowe Interview Series: Chris Martin,Apple Music,Happy Place,31/03/2021,,https://www.youtube.com/watch?v=jb0lAo94CaY,https://img.youtube.com/vi/jb0lAo94CaY/hqdefault.jpg
Production Manager,The Zane Lowe Interview Series: Halsey ,Apple Music,Happy Place,15/04/2021,,https://www.youtube.com/watch?v=R9uwESPJD6U,https://img.youtube.com/vi/R9uwESPJD6U/hqdefault.jpg
Production Manager,The Zane Lowe Interview Series: Ed Sheeran,Apple Music,Happy Place,30/04/2021,,https://www.youtube.com/watch?v=GpYNi6XSdHg,https://img.youtube.com/vi/GpYNi6XSdHg/hqdefault.jpg
Production Manager,The Ebro Darden Show: Doja Cat ,Apple Music,Happy Place,30/06/2021,,https://www.youtube.com/watch?v=xuMuNJ4_g10,https://img.youtube.com/vi/xuMuNJ4_g10/hqdefault.jpg
Production Manager,The Zane Lowe Interview Series: John Mayer ,Apple Music,Happy Place,01/07/2021,,https://www.youtube.com/watch?v=r7W8E1tp97A,https://img.youtube.com/vi/r7W8E1tp97A/hqdefault.jpg
